ColonyPlateID
ARIA_P1
ARIA_P2
ARIA_P3
ARIA_P4
ARIA_P5
ARIA_P6
ARIA_P7
ARIA_P8
ARIA_P9
ARIA_P10
ARIA_P11
ARIA_P12
ARIA_P13
ARIA_P14
ARIA_P15
ARIA_P16
